,id,case_number,date,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,latitude,longitude,GEOID
77599,13209308,JG422506,2023-09-13T11:21:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1115,11,28.0,26,18,2023,41.878857958,-87.726521499,17031260700
77655,13209098,JG422273,2023-09-13T09:32:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.895468188,-87.715584109,17031231100
77660,13209251,JG422593,2023-09-13T09:30:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,SMALL RETAIL STORE,True,False,111,1,34.0,32,18,2023,41.884498005,-87.625915709,17031320102
77807,13208843,JG422030,2023-09-13T01:43:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,1533,15,28.0,25,18,2023,41.880458148,-87.748259978,17031252202
77901,13208738,JG421936,2023-09-12T22:39:00.000,2027,NARCOTICS,POSSESS - CRACK,VACANT LOT / LAND,True,False,532,5,9.0,53,18,2023,41.678987141,-87.619374506,17031530100
77974,13208568,JG421803,2023-09-12T19:45:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1112,11,27.0,23,18,2023,41.896196718,-87.716337402,17031231100
78066,13211566,JG425393,2023-09-15T15:00:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,131,1,3.0,33,18,2023,41.858594819,-87.627214427,17031330200
78073,13211584,JG425444,2023-09-15T15:00:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,False,False,1231,12,28.0,28,18,2023,41.869355188,-87.660612899,17031283200
78086,13211671,JG425335,2023-09-15T14:48:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,CTA PLATFORM,True,False,925,9,20.0,37,18,2023,41.809125265,-87.631906508,17031835500
78088,13211575,JG425366,2023-09-15T14:43:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,False,False,1121,11,27.0,23,18,2023,41.896032623,-87.713892759,17031231100
78159,13211514,JG425236,2023-09-15T12:59:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),CTA BUS STOP,True,False,2233,22,21.0,75,18,2023,41.699184632,-87.642593834,17031750100
78214,13211393,JG425092,2023-09-15T11:26:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1522,15,29.0,25,18,2023,41.879996761,-87.761814204,17031252102
78244,13211365,JG425091,2023-09-15T10:30:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,422,4,7.0,46,18,2023,41.751375148,-87.55895132,17031460302
78252,13329356,JG425023,2023-09-15T10:05:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,1134,11,24.0,29,18,2023,41.868180939,-87.709271389,17031843000
78260,13211382,JG425029,2023-09-15T10:00:00.000,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,STREET,True,False,213,2,3.0,35,18,2023,41.830726285,-87.628907777,17031351500
78286,13329357,JG424929,2023-09-15T09:10:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,1134,11,24.0,29,18,2023,41.868180939,-87.709271389,17031843000
78307,13211231,JG424969,2023-09-15T08:32:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,NURSING / RETIREMENT HOME,True,False,211,2,3.0,35,18,2023,41.834155131,-87.623318288,17031842000
78465,13210976,JG424660,2023-09-15T00:19:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,825,8,16.0,66,18,2023,41.780595495,-87.68367553,17031835000
78532,13210871,JG424563,2023-09-14T22:06:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,831,8,18.0,66,18,2023,41.762299341,-87.690520091,17031661000
78585,13210860,JG424492,2023-09-14T20:09:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,False,False,621,6,17.0,69,18,2023,41.750758926,-87.635836855,17031842400
78586,13210895,JG424485,2023-09-14T20:04:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,2535,25,26.0,23,18,2023,41.909921897,-87.723247929,17031230400
78609,13210804,JG424457,2023-09-14T19:38:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,CTA TRAIN,True,False,123,1,4.0,32,18,2023,41.8744151,-87.627609439,17031839000
78610,13210739,JG424468,2023-09-14T19:32:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,False,False,1114,11,28.0,26,18,2023,41.882523951,-87.730629094,17031260300
78636,13210678,JG424381,2023-09-14T18:53:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1121,11,27.0,23,18,2023,41.896319152,-87.715120453,17031231100
78681,13210827,JG424332,2023-09-14T17:30:00.000,2025,NARCOTICS,POSSESS - HALLUCINOGENS,STREET,True,False,1131,11,28.0,25,18,2023,41.876894022,-87.741426011,17031252202
78723,13210549,JG424195,2023-09-14T16:17:00.000,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1115,11,28.0,26,18,2023,41.880717301,-87.72628358,17031260700
78730,13210609,JG424229,2023-09-14T16:00:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,True,False,624,6,6.0,44,18,2023,41.751212251,-87.609302962,17031440201
78764,13210540,JG424222,2023-09-14T15:22:00.000,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,True,False,1214,12,34.0,28,18,2023,41.88606212,-87.639846339,17031280100
78775,13210524,JG424158,2023-09-14T15:07:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1121,11,27.0,23,18,2023,41.89551514,-87.710559023,17031836700
78809,13210456,JG424025,2023-09-14T14:21:00.000,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,SIDEWALK,True,False,1115,11,28.0,26,18,2023,41.880717961,-87.726408427,17031260700
78828,13210422,JG423979,2023-09-14T13:30:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,CTA TRAIN,True,False,914,9,11.0,34,18,2023,41.852868298,-87.63091491,17031841100
78864,13210319,JG423914,2023-09-14T12:43:00.000,2027,NARCOTICS,POSSESS - CRACK,VACANT LOT / LAND,True,False,1135,11,28.0,27,18,2023,41.87082496,-87.696017032,17031837400
78906,13210280,JG423856,2023-09-14T11:26:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,212,2,3.0,35,18,2023,41.830364812,-87.623239091,17031351400
78925,13210234,JG423686,2023-09-14T10:22:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1112,11,27.0,23,18,2023,41.895422074,-87.720293303,17031231500
78975,13210091,JG423558,2023-09-14T08:42:00.000,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,True,False,1112,11,27.0,23,18,2023,41.901827564,-87.721403831,17031231200
79042,13205338,JG417961,2023-09-09T19:49:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1122,11,27.0,23,18,2023,41.890463519,-87.719833886,17031231500
79044,13205344,JG417989,2023-09-09T19:41:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,112,1,34.0,32,18,2023,41.881722193,-87.624356274,17031320400
79098,13205263,JG417873,2023-09-09T18:06:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),PARK PROPERTY,True,False,1123,11,28.0,27,18,2023,41.884401003,-87.714629424,17031836800
79193,13205163,JG417690,2023-09-09T15:35:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1113,11,28.0,25,18,2023,41.884511709,-87.740294395,17031260400
79289,13205030,JG417509,2023-09-09T12:30:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,414,4,8.0,46,18,2023,41.751565305,-87.579288373,17031834200
79340,13204933,JG417381,2023-09-09T11:08:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.896248351,-87.712678578,17031836600
79686,13204676,JG416963,2023-09-08T22:15:00.000,2025,NARCOTICS,POSSESS - HALLUCINOGENS,STREET,True,False,314,3,20.0,42,18,2023,41.783373035,-87.594707671,17031420200
79757,13204624,JG416906,2023-09-08T20:29:00.000,2027,NARCOTICS,POSSESS - CRACK,GROCERY FOOD STORE,True,False,312,3,20.0,69,18,2023,41.779577735,-87.630138783,17031680900
79758,13204553,JG416877,2023-09-08T20:26:00.000,2025,NARCOTICS,POSSESS - HALLUCINOGENS,STREET,True,False,2232,22,9.0,73,18,2023,41.713721128,-87.639372621,17031730500
79786,13204626,JG416857,2023-09-08T19:35:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,GAS STATION,False,False,431,4,7.0,51,18,2023,41.722352508,-87.584377376,17031510300
79867,13204238,JG416670,2023-09-08T17:38:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,1512,15,29.0,25,18,2023,41.882731476,-87.768205253,17031252000
79899,13204285,JG416621,2023-09-08T16:48:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,224,2,3.0,37,18,2023,41.808712454,-87.628576793,17031381700
79938,13204228,JG416479,2023-09-08T15:35:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,725,7,16.0,67,18,2023,41.778883826,-87.664206366,17031671200
79954,13204117,JG416417,2023-09-08T15:15:00.000,2026,NARCOTICS,POSSESS - PCP,SIDEWALK,True,False,1011,10,24.0,29,18,2023,41.864353945,-87.724327457,17031838700
80024,13208437,JG421687,2023-09-12T18:28:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,434,4,7.0,51,18,2023,41.708029389,-87.569290282,17031838800
80050,13208418,JG421657,2023-09-12T17:31:00.000,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,831,8,17.0,66,18,2023,41.76557244,-87.689387754,17031660900
80101,13208376,JG421509,2023-09-12T16:14:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,224,2,3.0,38,18,2023,41.808688802,-87.626068136,17031381400
80161,13208302,JG421380,2023-09-12T14:37:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1021,10,24.0,29,18,2023,41.862895679,-87.711327211,17031291200
80172,13208275,JG421368,2023-09-12T14:20:00.000,2031,NARCOTICS,POSSESS - METHAMPHETAMINE,POLICE FACILITY / VEHICLE PARKING LOT,True,False,2432,24,40.0,1,18,2023,41.999533347,-87.671104423,17031830600
80229,13208291,JG421260,2023-09-12T12:18:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,621,6,6.0,71,18,2023,41.750690129,-87.640795942,17031710100
80237,13208208,JG421231,2023-09-12T12:02:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,SIDEWALK,True,False,2234,22,21.0,75,18,2023,41.688007614,-87.642244782,17031750600
80358,13207895,JG420896,2023-09-12T07:57:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1132,11,24.0,26,18,2023,41.872560678,-87.723559287,17031260900
80498,13207715,JG420745,2023-09-11T23:12:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,825,8,16.0,66,18,2023,41.7791416,-87.691591137,17031660600
80577,13207589,JG420625,2023-09-11T20:23:00.000,2025,NARCOTICS,POSSESS - HALLUCINOGENS,STREET,True,False,735,7,17.0,67,18,2023,41.762406987,-87.663721479,17031671900
80598,13207560,JG420596,2023-09-11T19:59:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,False,False,434,4,10.0,51,18,2023,41.707490122,-87.559650325,17031510200
80637,13207390,JG420506,2023-09-11T18:47:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,934,9,16.0,61,18,2023,41.800524148,-87.663541175,17031611900
80652,13207314,JG420424,2023-09-11T18:14:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1115,11,28.0,26,18,2023,41.878859771,-87.726345225,17031260700
80657,13207421,JG420462,2023-09-11T18:03:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,RESIDENCE - PORCH / HALLWAY,True,False,725,7,16.0,67,18,2023,41.773204093,-87.665313874,17031671500
80676,13207355,JG420437,2023-09-11T17:50:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1132,11,24.0,26,18,2023,41.872553033,-87.724187214,17031260900
80709,13207253,JG420331,2023-09-11T16:55:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1115,11,28.0,26,18,2023,41.878860042,-87.726396631,17031260700
80837,13207075,JG419966,2023-09-11T12:40:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,735,7,17.0,67,18,2023,41.768430247,-87.674557015,17031671500
80842,13207133,JG420085,2023-09-11T12:32:00.000,2022,NARCOTICS,POSSESS - COCAINE,OTHER (SPECIFY),True,False,1834,18,42.0,8,18,2023,41.892694698,-87.626750816,17031081500
80846,13207016,JG419917,2023-09-11T12:15:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,722,7,20.0,68,18,2023,41.779960201,-87.632099778,17031834600
80956,13206798,JG419681,2023-09-11T09:17:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,1011,10,24.0,29,18,2023,41.864351493,-87.724382549,17031838700
80959,13206866,JG419648,2023-09-11T09:15:00.000,2022,NARCOTICS,POSSESS - COCAINE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,True,False,1653,16,41.0,76,18,2023,41.976762981,-87.900983721,17031980000
81026,13206720,JG419501,2023-09-11T06:00:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,APARTMENT,True,False,1011,10,24.0,29,18,2023,41.861648184,-87.723824504,17031838700
81176,13206555,JG419317,2023-09-10T23:28:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,True,False,331,3,5.0,43,18,2023,41.772966384,-87.574033724,17031430101
81244,13206532,JG419225,2023-09-10T21:15:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,GAS STATION,False,False,1131,11,28.0,26,18,2023,41.874850606,-87.735272577,17031260500
81296,13206428,JG419147,2023-09-10T19:25:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,2412,24,50.0,2,18,2023,41.997800745,-87.685837792,17031020500
81298,13206361,JG419144,2023-09-10T19:16:00.000,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),ALLEY,True,False,1133,11,28.0,27,18,2023,41.875412863,-87.713985428,17031271400
81494,13206088,JG418778,2023-09-10T13:30:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,True,False,735,7,17.0,67,18,2023,41.76615842,-87.66749468,17031671500
81552,13205939,JG418620,2023-09-10T11:34:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,1115,11,28.0,26,18,2023,41.878861855,-87.726220357,17031260700
81847,13205598,JG418193,2023-09-10T00:01:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,True,False,713,7,16.0,67,18,2023,41.782058595,-87.6571117,17031670900
81970,13205426,JG418070,2023-09-09T21:23:00.000,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,SIDEWALK,True,False,1133,11,28.0,27,18,2023,41.875412863,-87.713985428,17031271400
82046,13204260,JG416243,2023-09-08T12:03:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,623,6,17.0,44,18,2023,41.75093383,-87.626288377,17031691200
82077,13203992,JG416151,2023-09-08T11:35:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,1532,15,28.0,25,18,2023,41.88479231,-87.752781515,17031251800
82082,13203972,JG416194,2023-09-08T11:25:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1112,11,27.0,23,18,2023,41.893583154,-87.720241104,17031231500
82161,13203755,JG415958,2023-09-08T08:45:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,GOVERNMENT BUILDING / PROPERTY,True,False,222,2,5.0,39,18,2023,41.805869465,-87.585195364,17031390700
82190,13203767,JG415887,2023-09-08T07:50:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,735,7,17.0,67,18,2023,41.767280598,-87.676031371,17031671500
82311,13203564,JG415736,2023-09-08T00:05:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,VEHICLE NON-COMMERCIAL,True,False,723,7,16.0,68,18,2023,41.773054421,-87.644613656,17031681000
82352,13203518,JG415710,2023-09-08T00:00:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,SIDEWALK,True,False,1434,14,32.0,24,18,2023,41.9105506,-87.673185901,17031240300
82428,13203489,JG415594,2023-09-07T21:40:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,True,False,1113,11,28.0,26,18,2023,41.877628303,-87.735371526,17031260600
82526,13203180,JG415438,2023-09-07T19:17:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,CTA PLATFORM,True,False,111,1,42.0,32,18,2023,41.885481891,-87.627935689,17031839100
82573,13203351,JG415398,2023-09-07T17:52:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,1121,11,27.0,23,18,2023,41.892316302,-87.713778083,17031231500
82574,13203167,JG415318,2023-09-07T17:47:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,1834,18,42.0,8,18,2023,41.889453169,-87.627994833,17031081500
82581,13203352,JG415410,2023-09-07T17:32:00.000,2027,NARCOTICS,POSSESS - CRACK,RESIDENCE - GARAGE,True,False,2024,20,48.0,3,18,2023,41.972101049,-87.654899332,17031031200
82588,13203243,JG415294,2023-09-07T17:30:00.000,2021,NARCOTICS,POSSESS - BARBITURATES,SIDEWALK,True,False,122,1,34.0,32,18,2023,41.876615415,-87.636504247,17031839100
82613,13203037,JG415243,2023-09-07T16:46:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),PARK PROPERTY,True,False,1123,11,28.0,27,18,2023,41.884363351,-87.714262554,17031836800
82635,13203129,JG415186,2023-09-07T16:16:00.000,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,1112,11,27.0,23,18,2023,41.896029696,-87.719993652,17031231200
82653,13202973,JG415137,2023-09-07T15:34:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.89551534,-87.710595751,17031836600
82665,13202995,JG415134,2023-09-07T15:21:00.000,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,933,9,20.0,61,18,2023,41.802662263,-87.663595929,17031611200
82688,13202959,JG415099,2023-09-07T14:40:00.000,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,SIDEWALK,True,False,1122,11,28.0,26,18,2023,41.880743528,-87.724498676,17031260100
82706,13202946,JG415026,2023-09-07T14:07:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1512,15,29.0,25,18,2023,41.882208006,-87.767229383,17031252000
82779,13202870,JG414889,2023-09-07T12:20:00.000,2022,NARCOTICS,POSSESS - COCAINE,SIDEWALK,True,False,2232,22,21.0,73,18,2023,41.705935497,-87.65083102,17031730700
82806,13203466,JG414965,2023-09-07T11:58:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,624,6,8.0,69,18,2023,41.755835942,-87.605322125,17031691400
82849,13239759,JG414702,2023-09-07T10:07:04.000,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),APARTMENT,True,False,1011,10,24.0,29,18,2023,41.864402475,-87.720553007,17031838700
82851,13202893,JG414809,2023-09-07T10:03:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,BARBERSHOP,True,False,223,2,4.0,39,18,2023,41.808734193,-87.604356704,17031390400
82875,13202590,JG414649,2023-09-07T09:34:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1112,11,27.0,23,18,2023,41.896319598,-87.718782453,17031231200
82882,13202546,JG414609,2023-09-07T09:04:00.000,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,1122,11,27.0,23,18,2023,41.890518421,-87.719837034,17031231500
83072,13202276,JG414334,2023-09-07T00:07:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,1422,14,26.0,23,18,2023,41.910049472,-87.712236304,17031230900
83172,13202283,JG414264,2023-09-06T21:41:00.000,2029,NARCOTICS,POSSESS - HEROIN (BLACK TAR),SIDEWALK,False,False,531,5,9.0,49,18,2023,41.685826775,-87.620821877,17031491400
83229,13202149,JG414170,2023-09-06T20:01:00.000,2021,NARCOTICS,POSSESS - BARBITURATES,STREET,True,False,621,6,6.0,44,18,2023,41.750757383,-87.636034766,17031842400
83256,13201998,JG414132,2023-09-06T19:23:00.000,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,STREET,True,False,1112,11,27.0,23,18,2023,41.901815571,-87.720184397,17031231200
83261,13202132,JG414140,2023-09-06T19:05:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,1115,11,28.0,26,18,2023,41.880414105,-87.72811149,17031260700
83276,13201993,JG414080,2023-09-06T19:00:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),PARK PROPERTY,True,False,1123,11,28.0,27,18,2023,41.883267969,-87.712150552,17031836800
83378,13300204,JG413882,2023-09-06T16:05:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,GOVERNMENT BUILDING / PROPERTY,True,False,1654,16,41.0,76,18,2023,41.953783081,-87.915105451,17031811701
83391,13300202,JG413881,2023-09-06T15:55:00.000,2031,NARCOTICS,POSSESS - METHAMPHETAMINE,GOVERNMENT BUILDING / PROPERTY,True,False,1654,16,41.0,76,18,2023,41.953783081,-87.915105451,17031811701
83409,13201843,JG413787,2023-09-06T15:28:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,True,False,715,7,16.0,67,18,2023,41.790366443,-87.6661808,17031670300
83452,13201760,JG413680,2023-09-06T14:28:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,False,False,1012,10,24.0,29,18,2023,41.858858907,-87.725686431,17031290900
83473,13216692,JG431590,2023-09-06T13:57:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,OTHER (SPECIFY),True,False,1834,18,42.0,8,18,2023,41.894104719,-87.626221071,17031081500
83484,13300180,JG413570,2023-09-06T13:30:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,1134,11,24.0,29,18,2023,41.868180939,-87.709271389,17031843000
83517,13201682,JG413529,2023-09-06T12:53:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,1024,10,25.0,30,18,2023,41.84445948,-87.709256069,17031300800
83524,13201589,JG413494,2023-09-06T12:30:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),PARK PROPERTY,True,False,934,9,20.0,61,18,2023,41.798945386,-87.654986779,17031612000
83533,13201761,JG413474,2023-09-06T12:16:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1132,11,24.0,29,18,2023,41.866184155,-87.72428806,17031843000
83581,13326031,JG413563,2023-09-06T10:39:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,GOVERNMENT BUILDING / PROPERTY,True,False,1654,16,41.0,76,18,2023,41.953783081,-87.915105451,17031811701
83605,13201478,JG413304,2023-09-06T09:40:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,GAS STATION,True,False,1513,15,29.0,25,18,2023,41.880186421,-87.768532463,17031252101
83823,13239792,JG459190,2023-09-06T00:00:00.000,2090,NARCOTICS,ALTER / FORGE PRESCRIPTION,DRUG STORE,True,False,431,4,7.0,51,18,2023,41.722358925,-87.584098907,17031510300
83954,13201055,JG412844,2023-09-05T20:30:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,1222,12,27.0,27,18,2023,41.883532576,-87.698810232,17031837100
83964,13200922,JG412748,2023-09-05T20:14:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1133,11,28.0,27,18,2023,41.874530384,-87.71166237,17031271400
84106,13199011,JG410500,2023-09-04T11:18:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.895512894,-87.71065087,17031836700
84122,13199077,JG410464,2023-09-04T10:55:00.000,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,1112,11,37.0,23,18,2023,41.90268796,-87.724257186,17031230700
84134,13199183,JG410493,2023-09-04T10:08:00.000,2027,NARCOTICS,POSSESS - CRACK,VEHICLE NON-COMMERCIAL,True,False,722,7,6.0,69,18,2023,41.769174121,-87.626561,17031690300
84421,13198616,JG410024,2023-09-03T23:50:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,923,9,14.0,63,18,2023,41.801041996,-87.690782186,17031630500
84429,13198611,JG410006,2023-09-03T23:31:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,831,8,17.0,66,18,2023,41.763990085,-87.690565528,17031661000
84504,13198599,JG409934,2023-09-03T21:37:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,612,6,17.0,71,18,2023,41.750400515,-87.660408795,17031710300
84568,13198456,JG409846,2023-09-03T20:14:00.000,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,SIDEWALK,True,False,1122,11,28.0,26,18,2023,41.880741698,-87.724671284,17031260100
84593,13198407,JG409818,2023-09-03T19:38:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1113,11,28.0,25,18,2023,41.885376793,-87.743617261,17031251800
84643,13198330,JG409720,2023-09-03T18:11:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,SIDEWALK,True,False,1533,15,28.0,25,18,2023,41.880828867,-87.752633786,17031251800
84668,13198281,JG409714,2023-09-03T17:46:00.000,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,1121,11,27.0,23,18,2023,41.895490201,-87.713049543,17031231500
84670,13198285,JG409702,2023-09-03T17:44:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1111,11,37.0,23,18,2023,41.902656994,-87.727221904,17031230600
